model,comparison,a,b,acc_a,acc_b,delta(b-a),b_fixed,a_kept(b_broke),discordant,statistic,p_raw,p_holm,sig_.05
llama-3.1-8b-instant,info: LABELS vs FULL,LABELS,FULL,0.24,0.18,-0.06,1,4,5,1.0,0.375,1.0,False
llama-3.1-8b-instant,structure: FULL vs HIER1,FULL,HIER1,0.18,0.14,-0.03999999999999998,2,4,6,2.0,0.6875,1.0,False
llama-3.1-8b-instant,structure: FULL vs HIER2,FULL,HIER2,0.18,0.24,0.06,6,3,9,3.0,0.5078125,1.0,False
llama-3.1-8b-instant,structure: HIER1 vs HIER2,HIER1,HIER2,0.14,0.24,0.09999999999999998,6,1,7,1.0,0.125,0.5,False
llama-3.3-70b-versatile,info: LABELS vs FULL,LABELS,FULL,0.26,0.26,0.0,3,3,6,3.0,1.0,1.0,False
llama-3.3-70b-versatile,structure: FULL vs HIER1,FULL,HIER1,0.26,0.24,-0.020000000000000018,1,2,3,1.0,1.0,1.0,False
llama-3.3-70b-versatile,structure: FULL vs HIER2,FULL,HIER2,0.26,0.3,0.03999999999999998,6,4,10,4.0,0.75390625,1.0,False
llama-3.3-70b-versatile,structure: HIER1 vs HIER2,HIER1,HIER2,0.24,0.3,0.06,5,2,7,2.0,0.453125,1.0,False
openai/gpt-oss-120b,info: LABELS vs FULL,LABELS,FULL,0.34,0.28,-0.06,2,5,7,2.0,0.453125,1.0,False
openai/gpt-oss-120b,structure: FULL vs HIER1,FULL,HIER1,0.28,0.34,0.06,3,0,3,0.0,0.25,1.0,False
openai/gpt-oss-120b,structure: FULL vs HIER2,FULL,HIER2,0.28,0.32,0.03999999999999998,6,4,10,4.0,0.75390625,1.0,False
openai/gpt-oss-120b,structure: HIER1 vs HIER2,HIER1,HIER2,0.34,0.32,-0.020000000000000018,4,5,9,4.0,1.0,1.0,False
openai/gpt-oss-20b,info: LABELS vs FULL,LABELS,FULL,0.24,0.22,-0.01999999999999999,4,5,9,4.0,1.0,1.0,False
openai/gpt-oss-20b,structure: FULL vs HIER1,FULL,HIER1,0.22,0.2,-0.01999999999999999,2,3,5,2.0,1.0,1.0,False
openai/gpt-oss-20b,structure: FULL vs HIER2,FULL,HIER2,0.22,0.26,0.04000000000000001,6,4,10,4.0,0.75390625,1.0,False
openai/gpt-oss-20b,structure: HIER1 vs HIER2,HIER1,HIER2,0.2,0.26,0.06,6,3,9,3.0,0.5078125,1.0,False
qwen/qwen3-32b,info: LABELS vs FULL,LABELS,FULL,0.3,0.34,0.040000000000000036,6,4,10,4.0,0.75390625,1.0,False
qwen/qwen3-32b,structure: FULL vs HIER1,FULL,HIER1,0.34,0.36,0.019999999999999962,4,3,7,3.0,1.0,1.0,False
qwen/qwen3-32b,structure: FULL vs HIER2,FULL,HIER2,0.34,0.3,-0.040000000000000036,3,5,8,3.0,0.7265625,1.0,False
qwen/qwen3-32b,structure: HIER1 vs HIER2,HIER1,HIER2,0.36,0.3,-0.06,3,6,9,3.0,0.5078125,1.0,False
